Date,BPBP6JYNCB,BPBP6JYNPIN,BPBP6JYNTB,BPBP6JYNEX,BPBP6JYNIM
2003-01,4665.67599794,6998.83967932,3156.62786426,36272.93369924,33116.30583497
2003-02,14926.21092322,7981.88788696,11016.2650739,40736.94033014,29720.67525624
2003-03,16314.36794159,8770.32065806,11705.56849435,45427.35455615,33721.78606179
2003-04,13052.29301393,7207.04744296,10210.30027206,43545.9638232,33335.66355113
2003-05,13993.11416584,7833.41043439,8356.43610724,40445.90330825,32089.467201
2003-06,11077.98328116,3907.29269552,9891.65484039,41543.8607388,31652.2058984
2003-07,15048.52927653,8955.99536964,9928.48185195,43452.3263508,33523.84449884
2003-08,14491.63996113,8608.59089885,9816.14041309,40493.63939448,30677.49898138
2003-09,16549.12551911,7670.55812526,13173.07560119,45844.53066517,32671.45506397
2003-10,13055.63326256,6262.02956637,12779.50418818,46126.713215,33347.20902681
2003-11,15517.86064335,7258.34901241,11657.74901582,42812.5102701,31154.76125427
2003-12,12561.57675967,4943.77048232,12939.60921001,46589.14874396,33649.53953395
2004-01,11535.26873925,8478.50235901,6920.77731713,40387.526088,33466.74877086
2004-02,22252.23038188,9434.24115143,15669.82756284,45043.4743945,29373.64683165
2004-03,19169.47555559,9892.76637231,13710.85744536,51298.70723336,37587.849788
2004-04,16531.66398414,9560.64512279,12913.10264776,48368.9007544,35455.79810664
2004-05,18175.9294871,9909.62102108,11433.65523366,44543.61592136,33109.96068769
2004-06,13747.28373608,4581.05370489,13220.56236041,49828.989606,36608.42724558
2004-07,17298.21057085,8904.92284371,13535.542241,49995.65963329,36460.11739228
2004-08,15356.21570593,10624.00521328,8022.00698315,45227.0291042,37205.02212104
2004-09,18361.79441102,8507.66404696,14686.77571966,51416.578759,36729.80303933
2004-10,14305.45807139,6829.78290152,13763.82583881,51641.22979,37877.40395118
2004-11,13233.48796855,9246.10983987,7448.54525012,48688.7576025,41240.21235237
2004-12,16973.80468388,7518.99289267,12909.72226521,50595.3657812,37685.64351598
2005-01,8294.14638114,9204.63088392,4493.70215855,42436.5305091,37942.82835055
2005-02,21532.74173797,11025.93002972,13175.99362816,46409.87451201,33233.88088384
2005-03,18531.07661443,10773.10685613,13035.22024041,55403.7664137,42368.54617329
2005-04,16630.95689774,10356.12488599,12324.6708599,52694.57976516,40369.90890526
2005-05,14509.39643375,11880.7505599,5322.19782068,46066.77983852,40744.58201784
2005-06,11370.36147759,4212.47075261,10774.45074829,52496.79982206,41722.34907377
2005-07,17319.85631243,10328.93405729,11360.5257714,53151.22421657,41790.69844517
2005-08,12502.76154536,12813.03777625,3762.68334961,50104.21465909,46341.53130948
2005-09,18651.336844,10298.18113814,12590.55341327,56868.16585764,44277.61244436
2005-10,14522.72764977,8777.80692974,10753.63906874,56720.3233766,45966.68430785
2005-11,14579.63485208,9416.39645729,8308.72336878,56602.5476862,48293.82431742
2005-12,18831.86726218,9416.00994314,11809.82677794,61139.68696582,49329.86018788
2006-01,7855.20462181,11500.12561113,-616.11396031,48211.52105256,48827.63501287
2006-02,23194.70908238,13815.23894845,11934.21660554,56385.59686608,44451.38026053
2006-03,24158.722742,16173.5045319,12351.29116931,65506.55218621,53155.26101689
2006-04,13796.19408381,11615.44276216,8956.63860765,58845.99371424,49889.35510659
2006-05,16895.17284694,13711.40379094,6055.27178659,54774.44221785,48719.17043126
2006-06,10809.03967351,5255.67453383,9819.95350083,60053.78633213,50233.8328313
2006-07,18326.73619224,12747.55338714,10591.53080146,60293.77416506,49702.2433636
2006-08,15233.89967861,14377.35989685,4658.26161854,58651.04646203,53992.78484348
2006-09,21003.58348883,12691.84170297,12800.82463393,65214.24758232,52413.42294839
2006-10,15789.93661587,12341.13629552,9021.12740002,62875.12203956,53853.99463954
2006-11,17934.85744678,9155.87425733,11722.91931891,63149.8609994,51426.94168048
2006-12,18309.19692079,8891.63441019,13404.64655089,66305.64745067,52901.00089978
2007-01,12159.34342426,14241.94722171,2609.40955434,56700.73261615,54091.32306181
2007-02,25002.97389299,15677.35202057,12493.32675989,61315.80886984,48822.48210994
2007-03,33603.79893185,19103.7560714,19042.55360393,71831.52723245,52788.97362851
2007-04,19600.67344723,15618.30833705,11764.54109299,63312.6700926,51548.12899961
2007-05,21242.20527506,17883.31802167,6762.5948122,62752.22241095,55989.62759874
2007-06,15383.58751112,4789.36947105,14814.76019899,69541.47340355,54726.71320456
2007-07,18729.37717632,15390.42995928,9463.57060636,67251.34558406,57787.77497769
2007-08,21046.01473256,15029.15651941,10478.51716223,66949.43463147,56470.91746924
2007-09,28814.10651319,13724.3894625,19444.75016171,69127.20364258,49682.45348086
2007-10,21629.79025446,14008.27129491,13098.85586164,71473.1315943,58374.27573266
2007-11,16678.27558132,9616.58883224,10586.67182856,69040.16640273,58453.49457416
2007-12,15599.7056491,9735.54537254,11313.10473677,70940.47105086,59627.36631408
2008-01,11132.40288978,13978.89162924,2390.72796309,61519.28247118,59128.55450809
2008-02,24794.37030077,16407.83207592,12771.14946512,66996.30057151,54225.15110639
2008-03,28725.18235087,19293.59029367,13972.69176128,73723.44157715,59750.74981586
2008-04,12159.48097771,11273.03165778,7347.89433314,66135.06068715,58787.166354
2008-05,18103.68847663,13962.94411858,6013.09558005,65198.38226545,59185.28668539
2008-06,2828.1894489,3828.16265258,3724.94310486,68595.72875959,64870.78565473
2008-07,13773.37497224,14534.88866566,4518.02336672,73142.93281322,68624.9094465
2008-08,8701.36771962,12137.70423132,72.53901181,67384.67670856,67312.13769674
2008-09,14479.19755339,13692.67661042,4874.24640841,70721.98981944,65847.74341103
2008-10,8625.04017333,10973.6650737,2784.08378728,66015.38043934,63231.29665206
2008-11,5046.15251032,7263.35150085,467.46270929,50682.8031617,50215.3404524
2008-12,417.71858266,6055.51765536,-906.32592107,45995.06698677,46901.39290784
2009-01,-2219.46416382,9022.85979486,-7186.90634978,33062.68017551,40249.58652529
2009-02,10442.96689092,10140.05813755,2749.14670592,33171.74839139,30422.60168546
2009-03,14527.48086157,16168.48398712,2224.77304296,39345.89954029,37121.12649732
2009-04,6432.60409259,10426.08386447,2688.02047354,39167.70426512,36479.68379158
2009-05,12880.15814615,11530.63906934,5087.16979122,37686.61905467,32599.44926345
2009-06,12875.56871737,8644.81197433,7045.79145049,43193.09609651,36147.30464602
2009-07,13424.75029716,12548.43744776,5341.96550435,45535.11591942,40193.15041506
2009-08,12009.11620225,10784.73247874,4285.99683649,42560.8241386,38274.8273021
2009-09,17176.01005428,12203.03396904,7456.62353228,48149.17667425,40692.55314196
2009-10,15352.66925354,9901.59389204,10575.96005976,50062.4189374,39486.45887763
2009-11,12363.2455614,8653.1567335,6092.55097833,47503.36569244,41410.8147141
2009-12,10660.22324724,6287.64212152,7514.41107194,51776.97364678,44262.56257483
2010-01,10199.53899723,10336.01596281,2994.18817448,46699.27578891,43705.08761443
2010-02,17226.55371191,10705.6965942,9020.38965807,49153.89120977,40133.50155169
2010-03,26950.18641427,17846.5618803,12146.90832377,57579.64504439,45432.73672061
2010-04,15862.61253503,12164.3767147,9926.77210329,56234.7455502,46307.97344691
2010-05,14891.59999537,11642.46730527,5254.74444376,50692.19515186,45437.45070809
2010-06,13005.44217782,6758.69706699,9011.68713261,56005.48025398,46993.79312137
2010-07,19323.03411724,12417.20879506,10114.63468151,56925.23897006,46810.60428855
2010-08,13558.63784292,13318.80127229,3102.33380821,49575.52093452,46473.1871263
2010-09,21672.1447875,13592.01978301,10483.2548974,55774.86162087,45291.60672347
2010-10,16552.06536632,10692.83493963,10234.85147296,54447.47175375,44212.62028078
2010-11,11056.93893753,9526.05398231,3923.95317934,51980.20958564,48056.25640629
2010-12,13528.79382024,7172.27913993,8946.17211673,58845.60680145,49899.43468471
2011-01,6598.08890676,11820.95925494,-2537.00279908,48119.28051193,50656.28331102
2011-02,18112.26753487,12871.37384847,8276.77594371,53843.64910718,45566.87316346
2011-03,18525.46251666,17282.69050382,3593.54623094,56730.48641154,53136.9401806
2011-04,5003.97950326,13556.70170649,-3064.71860795,49003.29624647,52068.01485443
2011-05,6483.92755708,14932.61687167,-6752.92986634,45626.2715116,52379.20137795
2011-06,6551.08599376,6987.02295729,2152.62726247,55157.94768442,53005.32042195
2011-07,11713.7334179,13458.77326331,2360.65528583,55415.29684108,53054.64155525
2011-08,5525.96195013,14460.35183698,-5713.2986674,51212.51755049,56925.8162179
2011-09,16145.08772263,13744.20666493,4986.06599477,57181.28690348,52195.22090871
2011-10,5372.67253987,11024.73446246,-1038.66298512,52772.36957981,53811.03256494
2011-11,1295.81545902,9198.37936666,-5006.66143312,49999.44606614,55006.10749927
2011-12,2684.86124625,6872.03680298,-558.57263474,54590.81244812,55149.38508287
2012-01,-4377.73872402,11473.93895153,-12662.71833861,43844.52295081,56507.24128943
2012-02,12174.54690543,12408.24790883,1873.84632988,52725.48348524,50851.63715536
2012-03,13277.72610467,14968.08400307,1327.78403714,60908.90262175,59581.1185846
2012-04,3771.85788305,13722.57124297,-3152.27465917,54585.86484634,57738.13950552
2012-05,3471.21069791,13808.53343847,-6806.06287627,51127.69030064,57933.75317691
2012-06,4079.23001949,5433.33368172,2128.27044148,54589.64127628,52461.37083479
2012-07,6434.30176385,13989.54932534,-2584.44907411,51523.11844104,54107.56751516
2012-08,4085.12787419,13285.43250781,-5144.45484128,48915.25369859,54059.70853988
2012-09,5158.5916592,12828.26696493,-3281.13028536,51535.95345897,54817.08374433
2012-10,4028.12590378,12302.59013141,-2965.82762318,50054.6446356,53020.47225878
2012-11,-1984.95565442,8737.27756146,-7127.6809722,48483.65384134,55611.33481355
2012-12,-2478.33123782,6956.41328553,-4324.63590402,51273.28936747,55597.92527149
2013-01,-3471.35343029,12323.02708206,-13069.88079003,47264.49185221,60334.37264225
2013-02,6524.09660373,14115.42550784,-5406.90796317,51353.08210838,56759.99007156
2013-03,12877.13756085,17322.91622175,-738.46819183,61318.83445911,62057.30265095
2013-04,9250.43316324,22619.72933481,-7081.9023292,56305.43608265,63387.33841186
2013-05,7083.29277424,16691.51554371,-8137.88451013,56089.24055395,64227.12506409
2013-06,5008.63265667,7946.42349156,165.27492228,58572.13630206,58406.86137977
2013-07,7259.65906093,19283.45429607,-7902.28719565,57837.06812915,65739.35532481
2013-08,2824.23243874,13861.20671356,-7425.64073291,55955.13975665,63380.78048956
2013-09,7389.30555128,17786.37061495,-7135.02695972,57949.8186828,65084.84564252
2013-10,-162.38824984,14989.33394985,-9220.85978662,59054.45827322,68275.31805984
2013-11,-4595.25820456,10209.2309983,-11047.79593537,57051.28282812,68099.0787635
2013-12,-5422.02034898,9829.64851989,-10732.94523639,59538.58020294,70271.52543934
2014-01,-14561.07499302,14891.79541678,-24241.08232545,54742.20872743,78983.29105288
2014-02,7408.81697129,15947.29109534,-5761.18300144,59331.4314049,65092.61440634
2014-03,2445.23426365,19135.26828647,-11934.08526925,64899.6963082,76833.78157745
2014-04,3554.04176991,19916.65789103,-7992.43881802,59763.81379324,67756.25261126
2014-05,6935.50527215,16344.48029955,-7052.2450207,57093.34838362,64145.59340433
2014-06,-1934.02644108,6230.54912533,-5542.05457561,61089.84871234,66631.90328795
2014-07,5482.08677086,20182.01736189,-8661.23244266,62569.54112405,71230.77356671
2014-08,4039.38786044,16730.80729444,-8556.82220151,56526.25281395,65083.07501546
2014-09,10086.0166248,20659.40868623,-7192.16752215,64777.16307749,71969.33059965
2014-10,8607.0007369,20336.12565945,-7642.65491811,65762.2991048,73404.95402291
2014-11,4523.66956102,12903.7110598,-6317.75358972,63247.77050367,69565.52409339
2014-12,2628.41346536,10870.10079168,-3759.10292984,70943.70735303,74702.81028287
2015-01,929.66535866,14315.17804415,-8833.2123078,63256.64591121,72089.85821902
2015-02,14660.06336511,18802.2450386,-1317.03908855,60048.50696281,61365.54605136
2015-03,27519.26268973,23196.87287484,6477.92366804,71324.00578879,64846.08212075
2015-04,13717.85960308,22665.36337686,-1494.94421331,62345.13822032,63840.08243363
2015-05,18813.68940562,20795.27386665,-564.05885471,57374.84758892,57938.90644364
2015-06,6587.33651824,7865.37341557,1006.6339384,64759.11121607,63752.47727767
2015-07,18482.78059089,23157.79287201,-1235.2497891,65656.95041682,66892.20020592
2015-08,16581.49737408,21537.55488351,-3557.9104616,58686.63466452,62244.54512612
2015-09,14846.95741197,17309.4279514,502.84243207,63752.49532016,63249.65288809
2015-10,14019.20620955,17680.9087866,1810.08918788,63476.79680243,61666.70761456
2015-11,10759.10859076,15797.68161305,-3273.35704972,59439.09349369,62712.45054341
2015-12,8276.61668492,9908.40777736,1615.82478941,62621.30275017,61005.47796077
2016-01,6394.85118887,13831.55426898,-4344.24248844,53883.63530295,58227.87779139
2016-02,24364.32501714,20608.82134392,3875.21258406,56414.69092743,52539.47834337
2016-03,30112.39777133,22036.65990328,8658.1819613,63350.57848028,54692.39651898
2016-04,19189.14191168,18643.92413791,6775.84817885,56184.89404079,49409.04586194
2016-05,18827.68886949,20146.80918554,271.02041945,50674.28942538,50403.26900593
2016-06,10972.87788887,5411.55429931,7498.01404897,58418.20378598,50920.18973701
2016-07,20997.5693476,18319.95130396,6057.1497007,55605.14455222,49547.99485152
2016-08,20938.52092746,21103.44497906,2187.94979879,53025.13091123,50837.18111244
2016-09,19527.73339597,15971.76225604,6623.98049075,58866.58586661,52242.60537586
2016-10,16454.54490305,15666.88690941,5669.24430706,57636.00830734,51966.76400028
2016-11,14716.36838256,12716.46532241,3360.65707225,59457.84090394,56097.18383169
2016-12,11413.53074793,7020.01905518,8542.52328596,67409.93314137,58867.40985541
2017-01,2290.37877583,14007.69645643,-8560.21962339,55298.5290756,63858.74869899
2017-02,30322.0932122,21135.634213,10779.03255522,63672.29267727,52893.26012205
2017-03,31120.98982152,23587.51232677,8657.46061939,71776.91816259,63119.4575432
2017-04,20116.8391555,18933.73851522,5532.54979892,61760.99843216,56228.44863324
2017-05,17777.83827244,20488.67771889,-1238.01430544,57188.7584097,58426.77271513
2017-06,10122.44341443,6325.69540633,5137.40347697,63789.62705643,58652.22357946
2017-07,24614.47497976,22718.92668692,5672.97823806,63742.82759546,58069.8493574
2017-08,25111.88132269,23565.63815195,3297.24243565,61851.56546483,58554.32302919
2017-09,22804.72399435,16939.68179688,8509.00405629,67269.49474261,58760.49068632
2017-10,21893.56019465,19459.8455865,4207.24611212,65708.1162016,61500.87008948
2017-11,13706.8810966,13545.43788504,1913.58246345,67796.35023185,65882.76776839
2017-12,7897.14448532,6134.92837566,5204.84502906,72679.8891515,67475.04412244
2018-01,6288.64945123,15673.77573642,-6705.04435577,62249.66732554,68954.71168132
2018-02,21570.00118451,19843.02133427,1980.12449605,64272.66408895,62292.5395929
2018-03,32090.54080827,21701.34554619,11826.31357914,74490.98463065,62664.67105151
2018-04,19172.21449267,19806.5484072,5651.69744296,66317.98225518,60666.28481222
2018-05,19221.05880548,24368.54487464,-3126.63416312,63149.70398216,66276.33814528
2018-06,11864.41575703,6161.99136147,8135.40376367,69762.67813515,61627.27437148
2018-07,20233.330299,23719.37979409,-105.21976539,67665.83243236,67771.05219775
2018-08,18097.04402473,22757.60572983,-2508.27235485,66512.42040574,69020.69276058
2018-09,19801.00238248,18485.19700554,3232.07468033,66714.40562826,63482.33094793
2018-10,13285.95818811,21191.86533703,-3298.78906646,70969.88107092,74268.67013739
2018-11,8926.79514832,15312.03203221,-5378.51082484,69489.30046638,74867.81129122
2018-12,4495.94871144,5004.94456015,1561.542987,70667.37810516,69105.83511816
2019-01,4956.48344478,18238.0814124,-10054.84314946,57925.24061441,67980.08376387
2019-02,25403.00071306,20490.25496086,4743.31066608,62911.52313882,58168.21247274
2019-03,28379.80125996,22167.27371269,6806.04679492,70400.63212735,63594.58533243
2019-04,16540.18897398,21938.12285072,-1427.99685072,63524.78705596,64952.78390667
2019-05,16347.64557844,23546.98902927,-6956.25761248,58799.75429116,65756.01190364
2019-06,10993.69842338,5026.00807883,7214.69354353,64135.62533687,56920.93179334
2019-07,20394.88095751,24174.8721597,-1071.93195143,64761.18115349,65833.11310492
2019-08,20309.21515886,23041.74016709,107.85548931,60473.09879126,60365.24330195
2019-09,14147.69336896,18641.14717935,-261.18160559,62057.20443492,62318.38604051
2019-10,17168.02864485,18281.87747956,2113.50413088,65176.06225093,63062.55812005
2019-11,12344.2909298,14594.57494778,-377.18108762,62366.71644253,62743.89753015
2019-12,5528.04729114,5389.8292912,666.73701358,65220.71618312,64553.97916954
2020-01,4825.79201388,18473.73620887,-10369.53933136,55055.26691091,65424.80624227
2020-02,29742.3964977,20626.657729,13119.67004999,62890.97412818,49771.3040782
2020-03,18370.47884717,21342.05554844,994.78900385,62232.93369535,61238.1446915
2020-04,16.33734119,18733.0343969,-9664.79396584,49152.58341481,58817.37738065
2020-05,9215.04269617,19212.74714434,-5331.96248406,42052.55491697,47384.51740103
2020-06,-302.02879048,3010.98548982,-486.03204242,48088.30682768,48574.3388701
2020-07,13798.15606897,17601.03786545,1525.92380349,52589.37409686,51063.45029337
2020-08,19530.44630874,21165.27798438,3826.86222081,51174.42600304,47347.56378223
2020-09,15645.84607303,15667.83938769,9177.34682836,59615.51520009,50438.16837173
2020-10,19737.3975954,16406.0993702,9432.44311078,63504.35926444,54071.91615366
2020-11,17725.55872535,16038.55783796,6013.24177736,60549.20406538,54535.96228802
2020-12,11611.25700762,6108.98879652,9540.70379153,65723.8566089,56183.15281738
2021-01,6173.59066112,14076.66236191,-1392.12736579,57093.13048425,58485.25785004
2021-02,29892.796903,26694.36343029,5257.17306954,60980.70347487,55723.53040533
2021-03,26298.75574209,19877.86130702,9954.0157363,73111.21756186,63157.20182556
2021-04,17722.60156821,26575.34659665,2744.28341178,68425.62651056,65681.34309878
2021-05,24323.74755529,29094.898112,74.45945429,62043.08165545,61968.62220115
2021-06,13382.91256806,11140.19952421,6462.30444402,71396.84544311,64934.54099909
2021-07,23325.72557245,25838.32309893,6084.63381875,72416.56522603,66331.93140728
2021-08,21171.35452903,28670.97566307,-3741.97007579,65199.11653722,68941.08661301
2021-09,16346.82620197,23213.00481347,-2361.10940654,69199.53977763,71560.64918417
2021-10,17074.72002237,23294.60072976,1740.96870168,70914.76195712,69173.79325544
2021-11,15565.93684126,23998.16367152,-4012.50440188,74779.78220252,78792.2866044
2021-12,3388.06430062,10617.69970957,-3187.00960451,77965.60833699,81152.6179415
2022-01,-6603.14658538,18661.70412486,-15674.75251417,66103.20655543,81777.9590696
2022-02,22602.55355038,29279.85821778,-1912.53253371,73191.19228673,75103.72482044
2022-03,32918.43244641,39333.46853878,-1260.04807687,84862.07987157,86122.12794844
2022-04,10601.98274795,29273.18320416,-6628.28899585,80135.44713218,86763.73612803
2022-05,7557.10619389,30799.26813225,-19183.36940191,74620.55976505,93803.92916695
2022-06,4836.95899956,18300.11819476,-10944.02041511,85929.57798876,96873.59840388
2022-07,8196.69653234,30396.94832839,-11781.00725178,86159.02610395,97940.03335573
2022-08,6216.92792955,39243.38897251,-24339.93200868,81105.67158564,105445.60359432
2022-09,7894.60444802,31410.25504361,-17949.64735943,88439.57861816,106389.22597759
2022-10,-517.2689155,27731.87155403,-18356.28540221,90305.64964058,108661.93504279
2022-11,17961.82854768,36533.30181315,-15007.39807537,90403.12518105,105410.52325642
2022-12,2758.82035746,19453.47515087,-12069.41932928,87326.52459636,99395.94392564
2023-01,-20690.57860346,21950.19311203,-32179.69197377,68378.31948222,100558.01145599
2023-02,22821.49275678,34768.26546262,-5547.08994732,76984.52145647,82531.61140379
2023-03,23455.18891318,34263.52774588,-4730.30596912,88110.31547573,92840.62144485
2023-04,18891.74763074,31215.88948668,-1988.20378548,82309.69165863,84297.89544411
2023-05,21771.34360479,38849.11009417,-11928.80316701,72646.00231643,84574.80548344
2023-06,17037.14483831,18800.90148175,3114.14175169,86568.88024372,83454.73849203
2023-07,29381.96285423,37563.47554613,1201.58436704,86069.92952552,84868.34515849
2023-08,23930.69252905,37535.33923175,-7492.4179973,79041.99559268,86534.41358998
2023-09,29655.03723549,33187.38123669,3829.55252706,91244.8948383,87415.34231124
2023-10,27901.20650978,32435.07424822,-4957.15054457,91082.87967041,96040.03021498
2023-11,21295.87129565,31081.81375491,-6769.27814377,86764.2018291,93533.47997287
2023-12,9303.80997912,14010.61420106,1331.93616708,95712.80792065,94380.87175357
2024-01,3118.38756973,29929.45113379,-14105.27580312,74823.09270461,88928.36850773
2024-02,27498.10722403,34886.02187597,-2291.8049742,82563.60147906,84855.40645327
2024-03,34425.83502724,35846.76952682,5231.05120154,94939.50313153,89708.45193
2024-04,20960.85856075,38460.83336306,-5516.77260123,85609.21619123,91125.98879246
2024-05,29177.76930045,43209.92141917,-10080.52328412,82927.40272355,93007.92600767
2024-06,19152.60566541,18124.52520149,6558.74508951,93096.72000404,86537.97491453
2024-07,35704.25763855,48541.32075417,-3881.77435082,96150.76245588,100032.5368067
2024-08,38454.48521972,47603.2951109,-2731.51997619,85517.30430065,88248.82427684
2024-09,17075.19727192,28368.6254741,-2752.35705067,88401.49645478,91153.85350544
2024-10,23538.46578653,31858.36055703,-710.68819683,95326.79348366,96037.48168048
2024-11,33060.66027448,33755.01246003,1965.48747348,90603.09512657,88637.60765309
2024-12,10606.89639524,12699.7767157,1170.57404248,96267.86358595,95097.28954347
2025-01,-3052.92590313,35150.04920872,-28542.52209416,76366.61627454,104909.1383687
2025-02,39383.6231526,37986.0496643,8098.82258565,91127.48219235,83028.6596067
2025-03,36253.42586264,38326.38378615,6113.36761214,96906.79981428,90793.43220214
2025-04,23700.34989018,36497.75140892,-7.45935874,88717.10243271,88724.56179145
2025-05,33204.9212964,41801.51566668,-4970.78437051,81590.68685937,86561.47122988
2025-06,12817.55703448,14448.7081563,4672.85400371,90080.77326735,85407.91926365
2025-07,25862.76348432,40539.09727346,-1877.0429392,90695.00186819,92572.04480738
2025-08,36281.13507809,42227.26277437,1137.97762481,84392.65404283,83254.67641803
2025-09,44446.73840442,49436.69666336,2465.68622002,95137.62050315,92671.93428313
2025-10,27434.55704374,34579.66694908,104.36735377,96968.95205097,96864.5846972
2025-11,36763.80544288,33684.40556725,5950.41774379,93974.26476483,88023.84702105
2025-12,9254.46171155,13523.80456457,1177.11949509,99507.27928005,98330.15978496
2026-01,9364.6405458,27352.93275654,-6126.98760827,90427.87996496,96554.86757324
2026-02,39334.730528,42365.41538952,2667.38207036,93791.01059175,91123.62852139
2026-03,47754.43599918,46539.38433925,8207.17498225,108226.22383868,100019.04885643
2026-04,39078.47982356,42099.64775776,3957.062927,101080.79239666,97123.72946966
2026-05,39682.53973505,42756.21132886,68.74760691,93602.11569473,93533.36808783
