Date,BPBP6JYNCB,BPBP6JYNPIN,BPBP6JYNTB,BPBP6JYNEX,BPBP6JYNIM
2000-01,7115.01743957,5468.65350731,6621.14437578,33370.17003462,26749.02565884
2000-02,15578.43236164,6757.99874973,12956.86508453,39108.83851216,26151.97342763
2000-03,13939.02055519,7538.70907301,12936.77050409,44910.59507571,31973.82457162
2000-04,13854.38508135,7118.17283233,13086.28449617,41664.41101429,28578.12651811
2000-05,10257.40195784,7773.50533962,7258.55734998,36639.49468962,29380.93733963
2000-06,14190.04542147,4763.34843573,13195.50424678,42540.69958722,29345.19534043
2000-07,12667.44897973,6249.3389412,11690.37778136,40969.08531971,29278.70753835
2000-08,11828.49741554,9112.98919756,7988.13189,39748.24113641,31760.10924641
2000-09,14280.48675663,5182.01066294,14830.71498612,44319.11224448,29488.39725836
2000-10,8077.45325253,5739.85108291,8752.56531164,42185.00735636,33432.44204472
2000-11,10164.16202538,6950.8703288,7845.90041807,40342.03687154,32496.13645346
2000-12,8663.82653654,4258.27340677,9819.96593099,43837.56571617,34017.59978517
2001-01,2722.12425369,7569.03299914,989.14969936,34322.29455299,33333.14485363
2001-02,14113.74477792,7853.02821875,10485.38833906,39516.64628172,29031.25794265
2001-03,14984.09968423,9033.39404605,11283.68201632,46237.09160538,34953.40958905
2001-04,8813.25361639,7492.13350512,8880.3346622,40744.72462698,31864.38996478
2001-05,4932.07112181,7661.4496238,2786.24315298,35766.01025807,32979.76710509
2001-06,7853.10303964,4011.72958934,9211.49040211,38825.17299236,29613.68259024
2001-07,7150.49845386,6914.04888369,5900.39516786,37770.91707625,31870.52190838
2001-08,7214.51076089,8564.15085184,5237.09638408,36075.82484358,30838.72845949
2001-09,11750.98600568,5095.8475621,12274.72173355,39295.00362222,27020.28188866
2001-10,6780.05392377,6216.66676971,6551.33255823,38376.77795422,31825.44539598
2001-11,9919.05560846,6725.97016992,6714.06234503,36499.34667988,29785.28433484
2001-12,8290.58460214,4871.06933722,8155.1162596,36937.28579805,28782.16953844
2002-01,6244.7626213,6908.00066963,3724.79882282,33334.34781043,29609.5489876
2002-02,13721.21107952,8372.20708746,9452.11166612,37886.08333908,28433.97167296
2002-03,21328.1053233,8793.20327501,14670.30032897,44961.26982299,30290.96949401
2002-04,10156.95792082,5989.80799509,10320.2708624,41332.8543981,31012.5835357
2002-05,9714.02804325,7467.5339229,7846.44696973,38922.44904832,31076.00207859
2002-06,13827.20797553,4516.33068227,13754.64439202,41508.42698955,27753.78259752
2002-07,10951.49923722,7704.83410252,9215.96222107,41120.59664216,31904.63442108
2002-08,10277.06594207,7146.08573373,8267.83770288,37918.4961729,29650.65847002
2002-09,11593.11037986,5528.01046764,12382.44008291,41905.68036325,29523.24028033
2002-10,9125.4483595,5341.32320666,10983.89787664,43699.5504198,32715.65254315
2002-11,11233.57097099,5293.57811721,10744.34038891,43586.45361164,32842.11322272
2002-12,8663.55004074,5043.7756227,9848.22790161,42852.56988394,33004.34198233
