Date,消費支出,平均消費性向,実収入,可処分所得,小売業販売額
2007-05,293231,94.1,431013,332806,
2007-06,280587,49.4,735579,607088,
2007-07,291632,65.7,592452,489689,
2007-08,296035,82.6,467786,393486,
2007-09,281448,85.8,431793,362829,
2007-10,296984,82.4,469981,396530,
2007-11,282836,82.8,435640,365650,
2007-12,351667,47,950654,807253,
2008-01,309826,92.9,438998,367083,
2008-02,275827,74.1,476282,402903,
2008-03,312565,90.4,453482,379393,
2008-04,310695,90.1,469774,381365,
2008-05,288128,93.1,435076,338573,
2008-06,281951,51.8,737166,594393,
2008-07,298366,68.3,587732,483915,
2008-08,291154,78.2,488216,412235,
2008-09,281433,85.7,433502,359201,
2008-10,291504,77.2,481746,405982,
2008-11,284762,84.6,439394,366664,
2008-12,336976,44.5,969449,821280,
2009-01,291440,87.1,443337,369201,
2009-02,266044,75.7,464665,390292,
2009-03,310680,94.1,443429,366163,
2009-04,306340,89.1,473779,386444,
2009-05,285530,92.8,436123,341748,
2009-06,277237,53.2,700239,563050,
2009-07,285078,67.4,573821,469571,
2009-08,290972,81.7,466393,389498,
2009-09,277110,86.5,422120,348785,
2009-10,287789,79.2,459704,387048,
2009-11,284740,85.6,428219,354753,
2009-12,337887,46.8,906884,768386,
2010-01,291918,88.8,434344,362227,
2010-02,261163,72.9,464866,391042,
2010-03,319991,97.3,439410,362466,
2010-04,299996,86.4,474616,383980,
2010-05,280714,94.6,421413,320542,
2010-06,276494,49.7,733886,599669,
2010-07,285274,68.3,562094,463447,
2010-08,293361,83.3,470717,388478,
2010-09,275367,87.3,425771,352244,
2010-10,287433,76.4,494398,419532,
2010-11,284212,86.6,431281,357263,
2010-12,327006,46.1,895511,758719,
2011-01,289191,90.7,419728,350363,
2011-02,260793,71.5,470071,396810,
2011-03,291900,89.8,419862,349566,
2011-04,292559,86.5,454433,375329,
2011-05,276159,97.1,413506,310021,
2011-06,265807,50.9,687212,561723,
2011-07,280046,65.8,572662,469906,
2011-08,282008,81,463760,381716,
2011-09,270010,86,422720,347444,
2011-10,285605,78,479749,402887,
2011-11,273428,84.1,424272,350792,
2011-12,328080,46.9,893811,749899,
2012-01,283124,87,430477,355820,
2012-02,267855,72.2,483625,405735,
2012-03,303841,90.3,441015,364900,
2012-04,301948,87.8,469381,386381,
2012-05,287911,98.4,417723,309716,
2012-06,269810,50.3,712592,581983,
2012-07,283295,69.7,557032,448673,
2012-08,286036,79.6,470470,390041,
2012-09,266705,86.7,422046,345980,
2012-10,284238,78.6,482101,401061,
2012-11,273772,84.7,432681,354350,
2012-12,325492,47.6,902928,755418,
2013-01,288934,90.6,433858,354287,
2013-02,268099,75.5,476256,395795,
2013-03,316166,96.6,444379,363271,
2013-04,304382,88.3,479854,385584,
2013-05,282366,96.7,422724,318353,
2013-06,269418,50.1,728678,591825,
2013-07,286098,68.3,569174,454329,
2013-08,284646,80.4,471411,388907,
2013-09,280692,90.2,431931,349578,
2013-10,290676,78.9,482684,401139,
2013-11,279546,84.5,436293,356208,
2013-12,334433,47.5,905822,754307,
2014-01,297070,90.9,438646,358398,
